Curve,b0,b0.se,A,A.se,umax,umax.se,L,L.se,RSME,CV,outlier
M26.2,0.096,0.00267,0.2664,0.0041,0.0743,0.00312,3.4014,0.10005,0.0086,3.58,0
M41.2,0.0955,0.00292,0.3734,0.00941,0.0727,0.003,4.631,0.12078,0.0106,4.518,0
M4.2,0.0943,0.00291,0.2809,0.00427,0.0785,0.00318,3.1551,0.09812,0.009,3.563,0
M17.2,0.0987,0.00225,0.3056,0.00414,0.0746,0.00241,3.7809,0.0822,0.0078,3.133,1
M19.2,0.0919,0.00175,0.2455,0.00384,0.0723,0.00305,5.1937,0.08426,0.0074,3.85,0
M54.2,0.0919,0.00204,0.2956,0.00512,0.0841,0.00363,5.519,0.08733,0.0088,4.358,0
M79.2,0.0952,0.00228,0.2664,0.00337,0.0805,0.00293,3.4259,0.07878,0.0076,3.114,0
S1.2,0.0947,0.00218,0.2325,0.00305,0.0746,0.00292,3.2142,0.08128,0.007,3.036,0
S6.2,0.092,0.00254,0.2232,0.00356,0.0741,0.00361,3.4139,0.09958,0.0084,3.826,0
S11.2,0.0965,0.00321,0.2073,0.00425,0.0794,0.00532,3.3849,0.12201,0.0107,4.87,0
S22.2,0.093,0.0035,0.1572,0.00452,0.0717,0.0078,3.5926,0.17823,0.0118,6.299,0
S51.2,0.0931,0.00301,0.1627,0.00402,0.0697,0.00642,3.6968,0.15329,0.0104,5.544,0
S95.2,0.0941,0.00288,0.1573,0.00381,0.0659,0.0057,3.5787,0.14832,0.0098,5.237,0
M4.3,0.0984,0.00371,0.2029,0.00492,0.0789,0.00632,3.4723,0.14683,0.0124,5.712,0
M13.2,0.0916,0.00416,0.2704,0.00789,0.0748,0.0058,4.2418,0.17428,0.0153,6.979,0
M17.3,0.0933,0.00193,0.2691,0.0038,0.0792,0.00315,4.7596,0.0815,0.0077,3.645,0
M19.3,0.0928,0.00285,0.2691,0.00539,0.0863,0.00532,4.9363,0.11928,0.0116,5.488,2
M21.3,0.0946,0.00178,0.2636,0.0036,0.0728,0.00261,4.6341,0.0778,0.007,3.318,1
M23.3,0.0918,0.00322,0.1983,0.00433,0.0699,0.00471,3.2506,0.13057,0.0105,5.02,0
M26.3,0.0932,0.00225,0.2348,0.00331,0.0725,0.00304,3.384,0.08789,0.0075,3.307,0
M41.3,0.1012,0.00468,0.4351,0.00988,0.0782,0.00295,3.1455,0.14047,0.013,4.223,0
S11.3,0.1002,0.00427,0.1835,0.00593,0.0662,0.00689,3.4117,0.19454,0.0142,6.91,1
S22.3,0.0913,0.00304,0.2398,0.00418,0.0787,0.0041,3.1827,0.10613,0.0098,4.199,1
S51.3,0.092,0.00291,0.2521,0.00465,0.0659,0.00316,3.2242,0.11419,0.0093,4.048,0
S95.3,0.1231,0.00307,0.2485,0.00461,0.0745,0.00394,3.2949,0.11468,0.0099,3.773,1
M54.3,0.0946,0.00241,0.3309,0.0049,0.089,0.00344,4.5238,0.08691,0.0092,3.824,0
M79.3,0.0995,0.00246,0.2847,0.00361,0.0804,0.00276,3.1766,0.08067,0.0077,2.963,0
S1.3,0.1,0.00294,0.2776,0.00427,0.0748,0.00298,2.9031,0.09936,0.0086,3.312,0
S6.3,0.103,0.00274,0.3011,0.00403,0.0777,0.00257,2.8599,0.08653,0.0079,2.88,0
M17.4,0.0938,0.00204,0.2691,0.00405,0.0781,0.00328,4.7546,0.08774,0.0081,3.817,0
M19.4,0.0962,0.00289,0.3056,0.00553,0.0808,0.0038,4.2814,0.11162,0.0106,4.46,1
M4.4,0.0941,0.0026,0.2664,0.00374,0.08,0.0032,3.2258,0.08855,0.0083,3.366,1
M13.3,0.1055,0.00229,0.3,0.00606,0.0623,0.00208,3.4455,0.09343,0.0073,2.951,0
M26.4,0.0955,0.00232,0.2334,0.00325,0.0732,0.00299,3.1605,0.08772,0.0073,3.156,0
M41.4,0.1135,0.00259,0.3359,0.00556,0.0796,0.00303,4.2266,0.09754,0.0093,3.542,0
M21.4,0.1003,0.00293,0.347,0.00614,0.0789,0.00311,3.9719,0.10739,0.01,3.863,0
M23.4,0.0963,0.00186,0.2102,0.00252,0.0703,0.00259,3.0725,0.07331,0.0058,2.62,0
S1.4,0.0941,0.0033,0.1648,0.00422,0.0697,0.00592,3.3295,0.1464,0.0109,5.611,0
S6.4,0.0954,0.00229,0.235,0.00327,0.0717,0.00288,3.199,0.08833,0.0073,3.145,0
M54.4,0.1047,0.00288,0.3506,0.0063,0.083,0.00341,4.3113,0.10522,0.0104,4.037,0
M79.4,0.1128,0.00234,0.2713,0.00341,0.0766,0.00259,3.1119,0.07995,0.0073,2.711,0
S51.4,0.1132,0.0025,0.2247,0.00346,0.0717,0.00326,3.1744,0.09753,0.0079,3.216,0
S95.4,0.0973,0.00219,0.2351,0.00312,0.0721,0.00278,3.2181,0.08422,0.007,2.993,0
S11.4,0.0988,0.00224,0.2324,0.00315,0.0696,0.00266,3.0685,0.08645,0.0069,2.93,0
S22.4,0.1007,0.00266,0.1658,0.00339,0.068,0.00457,3.1696,0.11564,0.0086,4.239,0
M21.5,0.0951,0.00232,0.2621,0.00425,0.0804,0.00385,4.6478,0.09741,0.0091,4.246,0
M23.5,0.0972,0.00253,0.2345,0.00339,0.0743,0.0031,2.896,0.09108,0.0075,3.135,0
M26.5,0.0954,0.00246,0.2384,0.00342,0.0724,0.00295,3.0328,0.09162,0.0075,3.174,0
M41.5,0.1277,0.00245,0.2428,0.00344,0.0755,0.00309,3.1791,0.08883,0.0078,2.887,1
M4.5,0.0971,0.00236,0.2616,0.00339,0.0772,0.00279,3.1591,0.08188,0.0074,3.007,0
M13.4,0.1023,0.00216,0.277,0.00385,0.0649,0.0021,3.4325,0.08672,0.0069,2.854,0
M17.5,0.099,0.00252,0.3491,0.00533,0.084,0.00299,4.233,0.08957,0.0092,3.585,0
M19.5,0.0957,0.00197,0.2347,0.00339,0.0728,0.0031,4.3947,0.08599,0.0076,3.657,1
M54.5,0.0924,0.00239,0.2697,0.0045,0.0807,0.00388,4.691,0.09987,0.0094,4.399,0
M79.5,0.0961,0.00301,0.2055,0.00403,0.075,0.00466,3.3428,0.11846,0.0099,4.557,0
S1.5,0.1097,0.00311,0.1602,0.00396,0.0672,0.0055,3.3038,0.14122,0.0102,4.925,0
S11.5,0.1237,0.00284,0.1606,0.00371,0.0662,0.00524,3.456,0.13876,0.0095,4.327,0
S22.5,0.1134,0.003,0.1591,0.00378,0.0688,0.00543,3.1768,0.13015,0.0098,4.599,0
S51.5,0.0943,0.00424,0.1926,0.00601,0.0657,0.0064,3.3952,0.1906,0.014,6.815,0
S95.5,0.0947,0.00258,0.166,0.0034,0.0647,0.0044,3.3605,0.12191,0.0085,4.395,0
