Curve,b0,b0.se,A,A.se,umax,umax.se,L,L.se,RSME,CV,outlier
M4,0.0916,0.00315,0.2139,0.00442,0.075,0.00492,3.6054,0.12836,0.0108,5.074,1
M13,0.0902,0.00258,0.244,0.00493,0.0697,0.00388,4.5797,0.12076,0.01,4.99,1
M17,0.0897,0.00168,0.2696,0.00394,0.0742,0.00272,5.1458,0.07684,0.007,3.541,0
M19,0.0916,0.0023,0.2547,0.00524,0.0785,0.00448,5.5416,0.11092,0.01,5.255,1
M21,0.0907,0.00165,0.2642,0.00373,0.0737,0.00266,5.0557,0.07555,0.0068,3.442,0
M23,0.0912,0.00318,0.1894,0.00441,0.0687,0.00521,3.5878,0.14354,0.0109,5.467,0
M26,0.0911,0.00228,0.1784,0.00326,0.0687,0.0044,3.9007,0.11064,0.0083,4.367,0
M41,0.097,0.00475,0.4766,0.01535,0.0682,0.00244,3.4172,0.15728,0.0131,4.555,0
S11,0.0921,0.00245,0.1919,0.00338,0.0674,0.0038,3.4131,0.10793,0.0082,4.023,0
S22,0.0949,0.00274,0.2403,0.0039,0.0822,0.00422,3.5563,0.09974,0.0094,4.07,0
S51,0.0882,0.00257,0.2378,0.0048,0.0621,0.00307,3.4603,0.11235,0.0086,4.052,0
S95,0.0896,0.00259,0.2503,0.00386,0.0788,0.00363,3.6181,0.09504,0.0089,3.94,1
M54,0.0938,0.00244,0.3537,0.00692,0.0822,0.00326,5.0351,0.097,0.0097,4.286,0
M79,0.0928,0.00232,0.2758,0.00353,0.0789,0.00278,3.4098,0.08031,0.0077,3.14,0
S1,0.0945,0.00299,0.2761,0.00426,0.0799,0.00336,3.0744,0.09866,0.0092,3.611,0
S6,0.0948,0.00253,0.28,0.00375,0.077,0.00272,3.1058,0.08595,0.0078,3.078,0
M17.1,0.0904,0.00192,0.2857,0.00432,0.082,0.00327,5.1764,0.08133,0.008,3.909,0
M19.1,0.0959,0.0032,0.3262,0.00759,0.0818,0.00451,4.8413,0.13288,0.0124,5.41,1
M4.1,0.0931,0.00292,0.2896,0.0044,0.0819,0.00339,3.3834,0.09757,0.0095,3.75,0
M13.1,0.0948,0.00266,0.2848,0.00513,0.0698,0.00301,4.0397,0.11032,0.0094,4.115,1
M26.1,0.09,0.00223,0.2589,0.00372,0.0679,0.00255,3.4995,0.0898,0.0074,3.282,0
M41.1,0.0963,0.0027,0.365,0.0086,0.0767,0.00321,4.9086,0.11219,0.0103,4.487,0
M21.1,0.0992,0.00302,0.3834,0.00777,0.0801,0.00312,4.2977,0.11058,0.0107,4.134,0
M23.1,0.0944,0.00274,0.1679,0.0036,0.0698,0.00522,3.4889,0.12917,0.0092,4.739,0
S1.1,0.091,0.00329,0.1722,0.0043,0.0722,0.00629,3.5029,0.15101,0.0111,5.721,0
S6.1,0.0942,0.00312,0.2597,0.00464,0.0741,0.00364,3.2698,0.11503,0.0099,4.137,1
M54.1,0.0973,0.00296,0.3863,0.00957,0.0773,0.00321,4.7531,0.11751,0.011,4.589,0
M79.1,0.0927,0.00247,0.2715,0.00368,0.0748,0.00267,3.1923,0.08661,0.0077,3.159,1
S51.1,0.0921,0.00247,0.2429,0.00356,0.074,0.00314,3.2913,0.09355,0.0079,3.45,0
S95.1,0.0959,0.00243,0.2478,0.00356,0.0759,0.00319,3.4099,0.09154,0.008,3.4,0
S11.1,0.095,0.00266,0.2263,0.00358,0.0764,0.00366,3.1126,0.0974,0.0084,3.629,0
S22.1,0.093,0.00291,0.1614,0.00385,0.0694,0.0061,3.6167,0.14736,0.0099,5.276,0
M21.2,0.0904,0.00217,0.2823,0.00462,0.0838,0.00377,5.1239,0.09014,0.009,4.369,0
M23.2,0.0945,0.00321,0.238,0.00437,0.078,0.00423,3.1913,0.11494,0.0102,4.343,0
