"time"	"s.est"	"s.lower"	"s.upper"	"v.est"	"v.lower"	"v.upper"
0	8.18819036979602	1.1354474295037	19.9937564179492	43991.9275173479	43969.0067013038	44014.6564224004
0.5	8.24956899365403	1.17187945210808	19.8700279163705	19991.8896265638	19969.0846873713	20014.1334303285
1	8.31987464003851	1.1656676457875	20.0333229516697	10991.7031262083	10968.815921467	11014.0323546317
1.5	8.88052946297438	1.28264949593173	20.9322110188097	2391.08790200694	2367.59988703091	2413.65190291329
2	13.392568401831	2.83117292332948	27.0517885470507	2086.71840639595	2062.5118125201	2110.35175255682
2.5	12.6385293828725	2.42999467243289	26.3888386245441	1687.34725567283	1663.18707482309	1710.6891880026
3	20.9627055338869	7.49540493810918	35.7073093029233	3478.99425181289	3454.11843409391	3503.24555622628
3.5	36.4475308413123	20.7155629830786	52.0627788738195	2263.48330853725	2237.7349834358	2289.33695032556
4	44.1941130127636	28.6805822796485	59.8681660512942	1655.71026308015	1629.7073389072	1681.68197427087
4.5	29.5601255386103	14.4724376381322	44.9767743033401	970.216810426203	944.801243256919	995.788411211767
5	47.5148725959451	31.9243327463914	63.2129293809084	962.242564463366	936.49731183193	987.349937059169
5.5	61.0883008937967	45.1064221626918	76.6601186579837	768.698214362008	743.156947163025	794.406141354572
6	62.1787120979743	46.3726591512853	77.7343468761239	457.566972513276	431.919399782511	483.008385641771
6.5	75.9657759878124	59.8751701499996	91.2229406402009	483.740276791793	458.074656474098	509.276239976825
7	57.3443826553512	41.6313748253722	72.9892607359427	222.349244187919	196.651227871685	247.475874322372
7.5	65.2686373415999	49.6089961773276	80.7895925379214	184.231674776895	158.649576228313	209.80859441454
8	65.1522501934668	49.1604242423242	80.7773282956819	234.433038555629	208.560851744443	260.272492660679
8.5	79.1143135301119	62.6254306652572	94.8678653639388	150.296892151798	124.481846790893	176.638595467416
9	81.3250376125134	65.4161212990895	96.7218642084918	80.491197081741	54.6937410905941	106.270196325934
10	75.7133502194151	63.6700812675114	87.8428888983701	16.6596289294854	3.89443200641274	34.3273329385574
11	81.4814744436212	69.1361551863553	94.0107722758678	20.2034165733338	5.26453291464834	39.1682471271343
12	90.5531013564061	77.6560760274795	103.730661824106	24.6810286143397	7.353208110649	45.336808405412
12.5	98.6108747403886	85.5645154990749	111.350537776782	18.4497777569665	4.57955416521059	37.2574182966985
13	84.9809163514934	72.6103560921924	96.7801013980279	13.7657918579267	2.88636336381397	29.808584690218
13.5	94.7062171139345	81.8043980747955	107.245034095853	17.2933952200876	4.1275953841621	35.2464335650781
14	81.2399199965634	69.0321475086767	93.4483713959491	17.4737246266514	4.23269062845989	35.45444916646
14.5	91.2844500477649	78.2201728374367	104.448934899101	29.3364417722014	9.97567430548653	51.1754549700064
15	77.111600205222	65.1792163482806	89.1514900191185	16.5018179341405	3.78489628067867	33.6324562539595
15.5	95.4203794465827	82.1013089232277	107.753410989198	12.2081225954366	2.44618879482875	27.4226476646399
16	83.2016850821181	70.7412257300685	95.2693312635148	9.01852442126594	1.66387701802396	21.088814661975
16.5	92.105387396761	79.1940183055102	104.034793878788	12.7427331147095	2.65643204252626	28.2354711997342
17	68.8702774665061	57.5636668428735	80.5509383859955	13.4120757337483	2.78132116915049	29.4663127488137
17.5	70.5786160438563	58.7206216154297	82.9989456086012	18.3688884763117	4.52575116208682	37.1063568114429
18	97.5609342443176	84.862644305157	109.796061483877	15.771908887843	3.48798601291513	33.1482770597363
19	91.4919103411801	77.4064306338514	104.776163816269	7.58534975578631	1.38196642806564	18.1737966774361
20	91.3680578855605	77.3631394985577	104.236201940811	7.69320525771145	1.41456608387998	18.6622857536107
21	84.1678129643566	71.7850613374112	96.1167230792999	9.92574297143772	1.87063294378414	23.0914365580121
22	83.0845654968559	70.3516167376158	96.290515516509	27.2341871769545	8.85957607500678	48.3430444922297
23	82.5883902116088	70.5514848770503	94.264465965051	12.7879130252748	2.61673828374417	27.9034212006425
25	87.0013342484335	73.919438108618	100.416175710823	26.514267526695	8.43763870082809	47.6516909932959
26	97.8361819517496	83.6225288568682	111.078149883486	7.97339339842307	1.47038688125472	19.1766593500925
27	92.0263651005556	79.1309624832726	104.133766819223	10.36824359787	1.91058516169781	23.7849665248328
28	77.9382691063111	65.2472401504263	91.7952557934376	28.905279403201	9.86571954998185	50.4683154798683
29	93.16481319974	80.277562036903	105.323613807362	15.5583223777989	3.49610708683663	32.8469077694465
31	84.6934985510017	72.1229117112872	97.3327790468393	20.0036656537469	5.21137974314528	39.5846280370844
33	91.0737211022297	78.6302660750199	103.336229400098	16.5618036545962	3.75879055984803	34.4708209576389
35	89.4824232878173	76.5280399461015	101.95894895011	17.9281996174083	4.338607911539	36.2986487495131
37	82.3595896333939	70.2059292088696	94.0866040579851	10.8455608747147	2.08036854179559	24.8782414556119
39	98.8412259690689	85.2541530849006	111.023267962974	9.45922316062497	1.74704777013053	22.1516624258535
