"time"	"s.est"	"s.lower"	"s.upper"	"v.est"	"v.lower"	"v.upper"
0	9.30198465739685	0.987569182552588	23.1481684861693	29990.7755425231	29964.8460030224	30016.4641735512
0.5	9.42289774403499	1.03468609533982	23.6680680780658	16990.7016054617	16964.4362000164	17015.9065024073
1	9.34791459340604	1.00225699921529	23.4877075898604	5990.74153901208	5964.31806630707	6016.09966604356
1.5	9.51782648930673	1.0468454924907	23.6384981083157	2790.31736747745	2764.06347506778	2815.78073925243
2	13.353879988116	1.91825317211343	29.6131241387788	2286.6717251313	2258.99823439877	2313.32300842225
2.5	12.7229774222087	1.79758729789595	28.9263566169626	2487.19029723609	2460.05736251885	2513.54559817704
3	18.9903412378382	4.03306249130455	36.9414045994766	1181.00268187546	1152.20733512493	1208.82999996906
3.5	24.6168950852701	7.15045199284632	43.519654599916	1975.28006189193	1945.67605513612	2004.44309332839
4	34.6216203370056	15.4779112746216	54.021155647115	1665.28189352329	1635.52887234493	1695.03760096286
4.5	27.8136860920726	9.6747107391095	46.86903108601	371.917649131264	342.132565149729	401.035068984913
5	43.015727303208	23.2166079261785	62.0983050230847	787.00954187575	757.16978693801	817.110697871522
5.5	53.9204955282051	33.8454618938924	73.5448525706663	585.833216088355	555.862626229096	615.718657025064
6	52.7101860374695	32.4195479778302	72.7570807800687	397.062959724611	367.003185939466	427.518239652733
6.5	53.9581401509584	33.9973591359454	73.2801891324798	575.946514276713	545.743965817212	605.919379072825
7	43.2653756142435	23.5619666847973	63.0983807830562	256.455740475238	226.156156680595	286.460187818255
7.5	67.7951315223049	47.747234646479	87.1628062750112	251.821622122408	221.909527418979	282.55418232186
8	59.8643564492352	39.7803321950447	79.9907859020989	279.719453858829	248.639810119239	309.974694333655
8.5	95.712165204455	75.8792009749644	115.381663588029	203.732790548724	173.491205825551	233.788361194708
9	72.8674783391499	52.3614235259941	93.4515613071968	30.4263681152749	0.0248219478651394	63.8695477242476
10	61.6287500667863	47.1034017382471	76.0199023365952	16.640088941787	3.93658334116975	34.7492821338176
11	75.6721324489542	59.8394158707171	91.7895863530968	26.1545088250773	7.86270230775597	49.0561356966899
12	78.4779409859186	62.7714329893101	93.825452366905	21.5366009315819	5.6762408354507	42.4168375386593
12.5	105.192118521021	88.7298963370664	120.971221589725	20.6249900198376	5.23808551487626	41.3287523562511
13	85.3736384341022	68.9018333958082	101.048791150363	10.8040244110191	2.20019722493609	24.7166908074012
13.5	84.9029559087422	69.0331865558755	100.415006996871	11.7638738056935	2.54598736833284	26.2192217666541
14	66.3903309790855	51.7089318264135	81.4085695098955	20.3735412881155	5.40449892674264	40.4485575640443
14.5	57.6640014196188	43.4519669972902	72.0205616663138	18.8893520723754	4.84503772458981	38.1770216164643
15	82.1223384641174	66.4263908903405	97.2314321256367	20.6476400583303	5.37649412672928	41.044103799362
15.5	72.7342473398784	57.3842822780549	88.1315522795981	24.7458791610477	7.05979793193707	46.5193208620594
16	77.2616535575412	61.8158038866454	92.3349720092137	18.0487564949591	4.40616911937921	37.4241734581727
16.5	72.3748680183612	57.396652261137	86.9612619804288	16.6892145625681	3.99957551431206	34.688491263357
17	70.4750843817654	55.2778503331665	85.6369385097302	20.9454536792756	5.51168492623789	41.6054130080202
17.5	86.6101919660931	70.5763892567577	101.949105919316	11.3982522174839	2.40423914016217	25.7779436001783
18	47.1779372200433	34.2302999627083	60.7981973971293	15.5004175610644	3.62578691410832	32.9670159199834
19	66.0198707424594	51.3358993741909	80.9249986625106	19.6192790777808	5.04342575774705	39.2018864293761
20	65.9589134362842	51.5084749280001	81.0536525608003	19.5625638409102	5.0201803158156	39.3836888337945
21	88.150557410736	71.6504636178761	104.667911402675	29.2482838046664	9.24282667509269	53.1964228192147
22	69.1661732250173	54.1504849029938	84.3542068682907	21.6498900058221	5.582525510866	43.0063675030287
23	75.6925736895037	60.6324634916213	90.7130023306087	17.0224748417508	4.04353178373216	35.3945986866961
25	77.5949956611697	61.5207195625865	93.4033455239463	23.7683159540527	6.48162492983283	45.7817313861026
26	71.1533486381935	55.7331153722842	87.0786126192666	26.4747169171988	8.12485564771219	49.0574993468361
27	82.67963692269	67.0320496490078	97.7688290026964	12.4342458809826	2.7305464611863	27.7770985842031
28	78.585738217971	63.294349775781	93.466970912294	16.6763871028569	3.94762566656538	35.4112245895791
29	75.1858397323847	59.4800448365984	90.8276288490215	24.3942658956169	7.1164729555878	46.1293288474554
31	66.2399898281275	51.3181486397338	81.0498823397252	17.6131618423553	4.18520892510924	36.6001828569465
33	62.4495351729622	47.380311021414	77.974174699441	27.5457902782492	8.3875018177212	50.3077987754142
35	54.8103892125924	40.9182838404764	69.1184266614577	19.579861536525	5.20324762499105	39.3791002198889
37	67.5002541582376	52.7891380572669	81.9980124662177	12.6793130685249	2.8604044356646	28.2657393692769
39	63.6334171216313	49.0661789959516	78.0175409766671	10.8644031017898	2.36142113624787	24.7730424370568
41	87.9107891765598	72.0563982398026	103.311660192031	12.0426061164883	2.58685229422835	27.0677625881418
43	80.2597657369515	64.154763837359	95.9630874680624	10.2792239574061	2.17283580602749	23.307613273761
45	72.0574507732576	56.5037523552085	87.3835157109785	21.0958898693368	5.7340209827724	41.5850461084207
47	75.8254527471438	60.4142110813084	91.0310659901599	19.8046917762916	5.26639837084252	40.2701116880439
49	90.3552839961686	74.5548367123329	105.350023224725	13.0413392993929	2.8995180943846	28.7412631590415
51	66.5727036185676	51.7456990325535	81.3582475904832	19.3400906167149	4.90301044343579	39.6023025337728
53	74.3144787467522	59.0129102270773	89.1179215528732	15.450342539855	3.44711837768575	33.423025557034
55	76.3215576357872	60.4409661357564	92.140315169076	25.7132869060735	7.43842833515172	48.3156905735704
57	75.268602035158	59.6354533381456	90.4329668593938	11.7247228877446	2.50201021916181	26.0815155672515
59	79.2411179149503	64.0292504131156	94.2400331298113	15.4109974021416	3.50939910470872	32.876524886229
61	65.8455234978645	50.9564179651974	81.3951484907657	24.121098567254	6.7908195589762	46.1503404732175
63	76.3673522476281	61.1264876872415	91.3413359989131	20.4383458156739	5.33809738461566	40.6481054974027
65	72.792598486187	57.3529959310872	88.7628487842946	27.4240679705433	8.70453127677051	50.572399992554
67	82.7895410625045	67.1789134960783	98.2219310109374	20.1432205070898	5.2564037344053	40.729733805783
69	68.1356984487234	53.115251980093	83.5274286114742	23.9602023778283	6.64161495190627	46.1279951522829
71	73.2109280939305	57.8218307248985	87.9205170308859	13.810933938114	3.13462087559816	30.4406125097268
73	86.2195206731112	70.5539883086775	101.166646596115	13.7792110880046	3.03227081238479	30.178555456668
75	69.1076962512741	54.3126529937352	83.8434088630468	18.5815327115894	4.63401140533182	38.3587883719029
77	74.2097730204319	58.9963833188093	89.0476409317424	14.4888385237152	3.34129836894886	31.1278160034448
79	66.6127665825833	51.491519566613	82.4081722411291	26.053727878789	7.73156499740875	48.2351195364921
81	75.0883392288832	59.090498959856	91.1981943689624	24.7027462649524	6.81937932568228	46.9713411063517
83	80.417743953842	64.8599449466981	95.6609025533952	20.3626073770753	5.24101689907886	40.6649633467
