"time"	"s.est"	"s.lower"	"s.upper"	"v.est"	"v.lower"	"v.upper"
0	11.6420780887497	1.33392025993828	29.1260554857646	21988.2694776633	21962.8854717881	22010.9807732282
0.5	11.9442430816735	1.46379433333925	29.0047797945982	19988.0084718366	19963.2545437572	20010.7070680102
1	11.9259279828185	1.45814878696069	29.3729177015336	9988.07460065062	9962.55416651452	10010.7193391769
1.5	12.0793871492129	1.48059671478424	29.1712123701722	2587.89077095695	2563.142886751	2610.46881664597
2	14.46975272836	2.03449226768062	33.226188497647	2085.45522390647	2059.18647286191	2108.98425167248
2.5	13.7923092941167	1.82216024286271	32.0670212572026	1886.20077998832	1860.1222519216	1909.44814885793
3	20.017914407142	3.58838623217505	41.346225424248	3079.9699745928	3051.68341881248	3105.98772614148
3.5	23.9707913608669	5.02678082787342	46.3884052648496	1975.94961981819	1946.62239344267	2003.26348701619
4	29.6220991055478	8.2516351809698	53.2859322302732	1170.30125152101	1139.43040636736	1199.16056598736
4.5	26.7054519639317	6.27520914233857	49.8713462712207	1373.28408350263	1343.29597506515	1401.29981441047
5	48.4821522297843	24.1294516768232	73.261121493913	841.418340366081	809.823052294469	872.70568077954
5.5	43.6012997325231	19.0145796510281	68.0399034139202	786.350535963416	755.483858823119	817.373819008107
6	36.490385134405	13.6602199495529	60.6202693348991	593.397873539375	562.338802464549	622.680061609502
6.5	45.6901228768111	21.6598469437287	70.3957442077986	504.192646908631	473.016038125466	534.820935923643
7	39.3924673977204	15.9450996140288	63.7471797602066	390.338764777268	359.30702233601	420.280331206739
7.5	44.7436729712342	20.6132314641646	69.5496316284766	355.212502379113	324.488290029228	385.662311130978
8	51.1957267983818	26.4946264607968	75.516252286254	278.658794833612	247.67372341919	309.462330543023
8.5	75.649437499335	49.8882075417676	100.70116266657	143.901504493302	112.058277005676	175.883073739047
9	67.6237227440973	41.5939984541588	93.0541643659318	70.4542830918906	38.2870338530683	102.856198871152
10	76.9855219895908	60.935476755382	93.0899386012998	20.7905164769629	5.91532156490002	40.1723941416127
11	87.1350943032057	70.809529876382	102.870033229998	19.0330382505955	5.32079272036714	37.6094486650897
12	87.9135036675963	71.1971678307127	104.356581875752	22.0098472417757	6.62247958380888	42.2348422492628
12.5	118.295063767807	98.2986228967317	137.578704058637	31.1693240369772	10.6445738853041	55.1064921908321
13	89.2418310973127	72.3441272768346	105.727138419318	21.333608639244	6.14553580325875	41.3892245709754
13.5	126.959627154478	106.307897218509	147.035179265887	37.2089304479752	14.6359887173271	62.8945382687587
14	113.767406517886	94.9303787413434	131.736432003686	27.6234610122971	9.02402730754926	50.2614343415359
14.5	112.613084402877	94.0187623977159	130.397973303427	25.0651208249559	7.76678104363773	47.0006584094917
15	106.579780632902	87.6610286606243	125.077698670476	31.0110983775435	10.9870356987574	54.5678532463683
15.5	119.520835649897	100.958738794971	137.914122804596	25.1097632327426	7.62854793397255	47.2923783372192
16	127.115410776113	107.150961081688	145.842967554167	30.5532572585151	10.6816598638492	54.558473581814
16.5	112.932198224968	92.9518118764402	133.000196784441	40.7369885128856	17.0290851776431	66.4409113533497
17	112.612369100671	91.9309831160318	133.678908533866	57.0246116151247	30.3339975532641	83.7874747431809
17.5	104.877103395369	85.6394434979614	124.319036600149	36.2449797795154	14.3187509543952	60.9490354896348
18	116.969428125712	96.314473908954	137.518965459849	57.7854186487541	31.6977180522503	84.4209064710216
19	129.893683920043	108.030846371482	152.494224924418	95.2985125161112	65.7442992778881	123.974175935868
20	130.094294085438	108.394306243076	152.514911170506	95.1058268640831	65.9926386715065	122.99139775796
21	145.660853763308	124.039496306944	167.324349122324	50.6979681908245	24.4802794514628	77.8385283921728
22	101.61415706204	80.5814625938262	124.017625583122	103.403892593155	74.3518775531289	131.107710329723
23	105.569668073863	85.322318916981	125.751017812753	43.3553966507191	19.0089447920245	68.8749103744484
25	113.830466927632	93.5397212224058	134.413594055816	45.1148851785717	20.4501563287719	70.6470203189021
26	129.199956004974	107.79725875263	150.802831792585	61.2213704979291	33.98975047239	88.3406214301985
27	128.281089252544	107.026901001817	149.516431214697	53.7598206912334	27.4640461463386	80.921818391966
28	143.536850014112	121.277742429346	166.182670991644	70.4619853436577	42.0702707271092	98.7746060670947
29	108.866191288082	89.2149292840041	128.112557026635	40.5789038659208	17.4576367400965	65.3564067670849
31	129.648473602776	108.411884762855	152.12056624734	58.9879077438139	31.9086690887948	86.5457731813475
33	123.141261263068	103.366413970772	141.711211395451	27.5369288714371	8.70827814847144	50.7296002789308
35	139.178229116054	118.34129810983	159.585166433447	40.3444715974559	16.6994711305926	66.4145973697447
37	144.574072885041	122.995978293524	165.476156578272	43.5964129113951	18.9708505546826	70.172614945676
39	137.977400819064	118.635364949672	155.849974822104	24.7684311024749	7.53623737461185	46.7758925978082
41	124.484356700299	104.148320764927	144.073887880094	35.1622367492145	12.963737673943	60.4838199325255
43	129.222245259398	107.752579236856	150.901625489259	49.1622317068641	23.188701395915	76.0922240243486
45	148.705534567902	127.803539859435	168.606437396149	33.2656445908032	11.8346772065485	58.1680538919641
47	130.592042722684	109.767109065324	151.397935176199	46.0732583302089	21.2523639815212	72.0730654858102
49	153.426199780886	133.499104938255	171.286692462474	22.565865883761	6.42086092461861	44.5233546852419
51	102.843088708156	82.5121392427502	123.767952181326	55.9416917666197	29.8321286016956	82.5442668645198
53	124.257408403935	103.081210449588	145.504268222534	55.5571963005649	29.3562426020051	82.4784489150402
55	119.042598404499	99.2085380529769	138.196277144017	32.157050295266	11.4728503880052	56.6136489758006
57	139.919502791013	122.34986822331	156.845771171709	14.7529110257169	3.57711372668817	31.3820396000425
59	147.286528842252	127.154289496519	165.741258012027	24.4691201945438	7.0765511843342	47.0293816342413
61	131.574014277881	110.44514601273	152.059811465041	41.0365522284399	16.8821118478272	67.7779605780647
63	112.48989058395	92.3718559609115	132.548454862833	40.889472566478	17.0111106307972	66.4473568373884
65	116.299560470404	96.5804453828978	135.567865498822	35.1681360473716	13.5346154178533	59.668095025317
67	121.340142303061	100.751275721852	142.320438608659	46.3597712262459	21.0239649784203	73.3818399411949
69	127.543498933804	108.92840659982	145.164429803301	24.9491270808197	7.62803759816006	46.3972734316553
71	133.777300988643	113.459488336659	153.187058103226	33.1783772778515	11.9283028085775	57.8506634029492
73	125.536805435323	105.781038151821	144.394059263845	29.6404814579757	9.81455204696255	53.846418679736
75	121.104022168162	101.515193362636	139.59693371528	28.9545406136722	9.62044261071203	52.5076565604893
