time	rep	total	spore	total_dil	spor_dil
2544	C	66	46	5	5
2544	D	76	60	5	5
2592	A	61	77	5	5
2592	B	83	84	5	5
2592	C	84	63	5	5
2592	D	68	62	5	5
2640	A	49	66	5	5
2640	B	62	77	5	5
2640	C	70	80	5	5
2640	D	72	71	5	5
2688	A	61	59	5	5
2688	B	82	86	5	5
2688	C	68	91	5	5
2688	D	59	80	5	5
2736	A	51	72	5	5
2736	B	67	51	5	5
2736	C	62	57	5	5
2736	D	57	58	5	5
2784	A	50	43	5	5
2784	B	59	48	5	5
2784	C	52	72	5	5
2784	D	58	53	5	5
2832	A	50	56	5	5
2832	B	51	78	5	5
2832	C	70	70	5	5
2832	D	50	51	5	5
2880	A	61	46	5	5
2880	B	56	51	5	5
2880	C	45	44	5	5
2880	D	65	58	5	5
2928	A	61	47	5	5
2928	B	52	52	5	5
2928	C	67	57	5	5
2928	D	70	58	5	5
2976	A	47	48	5	5
2976	B	50	76	5	5
2976	C	54	70	5	5
2976	D	53	65	5	5
3024	A	47	39	5	5
3024	B	63	44	5	5
3024	C	57	38	5	5
3024	D	49	65	5	5
3072	A	55	33	5	5
3072	B	55	34	5	5
3072	C	33	35	5	5
3072	D	54	66	5	5
3120	A	58	38	5	5
3120	B	62	55	5	5
3120	C	63	34	5	5
3120	D	50	38	5	5
3168	A	57	36	5	5
3168	B	46	41	5	5
3168	C	44	55	5	5
3168	D	45	37	5	5
3216	A	56	44	5	5
3216	B	57	55	5	5
3216	C	59	48	5	5
3216	D	60	54	5	5
3264	A	45	24	5	5
3264	B	46	23	5	5
3264	C	43	23	5	5
3264	D	54	30	5	5
3312	A	51	57	5	5
3312	B	63	35	5	5
3312	C	60	50	5	5
3312	D	68	46	5	5
3360	A	43	26	5	5
3360	B	69	47	5	5
3360	C	36	47	5	5
3360	D	61	49	5	5
3408	A	68	48	5	5
3408	B	51	46	5	5
3408	C	49	56	5	5
3408	D	61	44	5	5
3456	A	41	40	5	5
3456	B	53	48	5	5
3456	C	57	33	5	5
3456	D	37	34	5	5
4248	A	30	53	5	5
4248	B	62	57	5	5
4248	C	44	48	5	5
4248	D	51	61	5	5
4296	A	43	39	5	5
4296	B	47	45	5	5
4296	C	62	42	5	5
4296	D	57	39	5	5
4344	A	52	52	5	5
4344	B	60	40	5	5
4344	C	57	49	5	5
4344	D	72	48	5	5
4392	A	46	51	5	5
4392	B	52	46	5	5
4392	C	57	47	5	5
4392	D	61	55	5	5
4440	A	46	27	5	5
4440	B	48	27	5	5
4440	C	51	32	5	5
4440	D	54	41	5	5
4488	A	52	51	5	5
4488	B	68	49	5	5
4488	C	50	47	5	5
4488	D	50	56	5	5
4536	A	55	51	5	5
4536	B	57	40	5	5
4536	C	66	57	5	5
4536	D	45	39	5	5
4584	A	46	35	5	5
4584	B	56	58	5	5
4584	C	38	43	5	5
4584	D	47	44	5	5
4632	A	54	38	5	5
4632	B	52	30	5	5
4632	C	52	40	5	5
4632	D	56	37	5	5
4680	A	50	56	5	5
4680	B	49	54	5	5
4680	C	55	43	5	5
4680	D	32	52	5	5
4728	A	52	35	5	5
4728	B	53	34	5	5
4728	C	53	47	5	5
4728	D	59	31	5	5
4776	A	52	37	5	5
4776	B	44	34	5	5
4776	C	45	50	5	5
4776	D	51	48	5	5
4824	A	53	47	5	5
4824	B	61	44	5	5
4824	C	38	48	5	5
4824	D	47	45	5	5
4872	A	37	32	5	5
4872	B	63	47	5	5
4872	C	70	38	5	5
4872	D	44	38	5	5
4920	A	55	33	5	5
4920	B	60	59	5	5
4920	C	58	47	5	5
4920	D	55	36	5	5
4968	A	43	39	5	5
4968	B	63	63	5	5
4968	C	59	48	5	5
4968	D	59	47	5	5
5016	A	40	45	5	5
5016	B	68	36	5	5
5016	C	59	49	5	5
5016	D	74	61	5	5
5064	A	48	28	5	5
5064	B	55	33	5	5
5064	C	52	27	5	5
5064	D	40	38	5	5
5112	A	47	41	5	5
5112	B	50	36	5	5
5112	C	58	38	5	5
5112	D	37	35	5	5
5160	A	32	33	5	5
5160	B	37	33	5	5
5160	C	42	35	5	5
5160	D	47	35	5	5
5208	A	52	29	5	5
5208	B	52	42	5	5
5208	C	42	39	5	5
5208	D	47	37	5	5
5256	A	58	54	5	5
5256	B	75	64	5	5
5256	C	87	50	5	5
5256	D	66	64	5	5
5304	A	43	47	5	5
5304	B	38	45	5	5
5304	C	46	35	5	5
5304	D	46	36	5	5
5352	A	39	39	5	5
5352	B	53	36	5	5
5352	C	36	35	5	5
5352	D	44	37	5	5
5400	A	38	40	5	5
5400	B	43	42	5	5
5400	C	60	49	5	5
5400	D	55	49	5	5
5448	A	49	40	5	5
5448	B	45	36	5	5
5448	C	38	36	5	5
5448	D	62	33	5	5
5496	A	43	43	5	5
5496	B	63	62	5	5
5496	C	40	44	5	5
5496	D	60	52	5	5
5544	A	60	34	5	5
5544	B	45	36	5	5
5544	C	46	37	5	5
5544	D	68	42	5	5
5592	A	48	36	5	5
5592	B	44	39	5	5
5592	C	53	51	5	5
5592	D	65	28	5	5
5640	A	56	46	5	5
5640	B	52	42	5	5
5640	C	56	50	5	5
5640	D	55	45	5	5
5688	A	30	53	5	5
5688	B	58	64	5	5
5688	C	66	58	5	5
5688	D	60	50	5	5
