"time"	"s.est"	"s.lower"	"s.upper"	"v.est"	"v.lower"	"v.upper"
0	13.8013402829585	1.82849750973285	33.4585532198155	27986.182996406	27956.8552175178	28013.513990896
0.5	14.171250119279	1.82038636774555	34.6270494578859	20985.8875896233	20956.1147658925	21013.3229144001
1	14.1612323042051	1.72786543992797	34.0498601812094	8985.82028943372	8956.56755760326	9012.96980905368
1.5	13.9198830346826	1.76789598857834	34.048003041202	2285.9188178531	2256.23973605177	2313.15082254186
2	16.1744223493647	2.16443381458035	37.4882332490919	1283.74975362611	1253.3812265088	1311.77691755856
2.5	15.9311308837231	2.20090802496043	37.3986492615506	2184.07774645688	2154.2183243445	2211.94691601642
3	22.6021226278665	4.04869214081964	47.4490979596382	1277.23186351428	1244.04020802553	1307.58843759838
3.5	23.6411201945129	4.65108544252456	47.941519752805	1676.21574197469	1643.59881753492	1706.78571522652
4	29.0279683435523	6.8983759477847	54.6275412262361	1270.8066192562	1237.02416248677	1302.89123214925
4.5	31.5194776429659	8.13561863523265	58.1554553495664	968.290556872306	933.323872617608	1000.84708243115
5	44.8056895898888	17.2664052911301	72.9071528287545	755.005612449413	719.166063508329	790.702363885552
5.5	47.5526536060885	19.0056453139801	76.7764419314717	572.261770564826	535.229543105446	608.81573923792
6	50.0853089802168	21.3026994742116	78.5978132603201	649.593921531704	612.853676638254	685.915990100554
6.5	53.0340941392333	23.9069775161441	82.0148144370107	456.615903260341	420.183958295865	493.347283875215
7	47.6464111425566	19.6684596187642	75.9185906600042	342.038422003822	305.972712830059	377.939568466153
7.5	58.8957027107235	29.7638780168914	87.903991621878	210.622697672161	173.969852697765	247.078196088392
8	53.3506938309022	24.8713371008272	82.3730688981068	286.355125102558	249.478794974444	322.306152318807
8.5	71.2286736723132	41.9717855770008	100.521221125586	228.419501925667	190.966870660306	265.665148749073
9	74.2406219697998	42.7780792192959	106.148461685247	46.7498322495282	0.848870011515917	86.6439001769938
10	77.7207420595722	58.9333557442985	96.4925420463616	23.1516010712571	6.66788720192974	45.8753684104198
11	82.2147561689723	62.9157717585749	100.765440547585	21.6103431426308	6.19464440452147	43.6860370682398
12	87.9340687404795	68.0121165726276	107.906077152268	28.5256610756703	8.88574320040236	53.3251566623242
12.5	119.475144706979	97.6153203538458	139.574147263331	26.344096899331	7.7157477760827	50.8465732689146
13	93.4885779447944	74.148725484164	112.553027760873	18.3529640490084	4.81179063529883	38.4776693691195
13.5	110.699210570969	86.0699772599475	136.009295318328	64.9496659651741	33.9141649678137	97.3546705759163
14	115.085359582519	93.2930207492569	136.125533961445	26.6066380784529	7.88009665079657	51.6405152688787
14.5	97.8046749262996	75.5017821453928	120.31326278312	41.1689304826578	15.9741041627091	69.5653068531658
15	93.5907658564796	73.6921776589465	113.028647963774	22.7223346069449	6.36681893566515	45.2111600372757
15.5	119.851916159523	98.0128844482612	140.488257403386	25.5468062387056	7.29953820968031	49.5947413376547
16	124.755310972976	100.562895994087	148.461996800977	46.0900059036352	18.7761356206584	76.3970049704711
16.5	122.36794112476	100.888565207191	142.313041945127	21.3301245761963	5.76432325497302	43.3582956387835
17	121.028449688767	99.1262975141353	141.741235825575	23.7722249125682	6.54514703688695	47.7333074078519
17.5	111.758621514248	87.092967073098	136.89172445964	60.2135830583544	29.4104369954447	92.2567409183121
18	123.968285618083	99.3865467830073	150.061868838587	70.0536763487159	38.4600304179873	102.468735877043
19	117.321658751237	92.6273186060786	142.615288402308	62.5331025843028	31.2372598562943	94.2835883186701
20	117.45721473465	92.9389066918408	143.09815709719	62.4380988373154	31.8748747036277	94.0533333958301
21	147.184060874877	121.561614031537	172.051783526834	54.4534260796698	24.5666239074929	86.4300999272229
22	111.216400597636	87.3213409424696	136.165216203089	69.0063818898085	37.9361359212079	100.426851523001
23	110.039074513009	87.9791333213169	131.525653059903	32.6767901812011	10.7711450727408	58.995714095503
25	110.525655209249	86.902594502339	135.059502518486	57.7812589081888	27.9320854218971	88.1379521276257
26	113.886685962467	89.7881887564552	139.674863812766	63.7305822784658	32.9663079376183	94.947185596595
27	130.782106224592	106.125898911544	155.439048023172	59.1960268164146	29.062611323385	90.6821636096615
28	102.264811983577	79.2903293327625	125.757004713891	52.7646273258662	24.5756220988778	82.2935949119217
29	128.774367427128	106.452235813198	150.509191263602	32.0969873111506	10.4461748204347	58.6571736973587
31	124.738257075048	101.055943603923	147.202224099455	35.9028456057275	12.4121068781745	63.9505007939083
32.5833333333333	126.108110521919	103.042023460137	148.290048491969	37.9339469763649	13.7749500765552	66.4771571600433
35	126.707154442842	104.427137057927	148.172121832812	31.4528057907599	10.3854022854788	57.6972198230042
37	132.168153762017	110.916034921556	153.015016855993	16.0808770867079	3.98748628760383	34.8347168812104
39	138.031516166497	113.592238478427	162.550451182323	50.309868978132	21.7383969535179	80.8840553281314
